"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\Skeleton.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 6, 112
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\SpoilerToggle.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 7, 112
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\ThemeToggle.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 3, 33
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\TransitionLink.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\index.ts", "TypeScript", 25, 0, 0, 0, 0, 1, 26
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\constants.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\contexts\ShardThemeContext.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 7, 47
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\generated\characters.json", "JSON", 0, 0, 0, 684, 0, 1, 685
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\books.ts", "TypeScript", 248, 0, 0, 0, 8, 10, 266
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\family-data.ts", "TypeScript", 170, 0, 0, 0, 0, 15, 185
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\heralds.ts", "TypeScript", 130, 0, 0, 0, 0, 2, 132
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\index.ts", "TypeScript", 39, 0, 0, 0, 0, 7, 46
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\magic-systems.ts", "TypeScript", 436, 0, 0, 0, 0, 5, 441
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\planet-visuals.ts", "TypeScript", 206, 0, 0, 0, 0, 3, 209
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\planets.ts", "TypeScript", 301, 0, 0, 0, 0, 2, 303
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\sagas.ts", "TypeScript", 72, 0, 0, 0, 0, 2, 74
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\shard-themes.ts", "TypeScript", 221, 0, 0, 0, 0, 4, 225
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\static-data.ts", "TypeScript", 135, 0, 0, 0, 3, 13, 151
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\timeline\character-lifespans.ts", "TypeScript", 527, 0, 0, 0, 6, 8, 541
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\timeline\eras.ts", "TypeScript", 100, 0, 0, 0, 0, 2, 102
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\timeline\events.ts", "TypeScript", 1483, 0, 0, 0, 39, 14, 1536
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\timeline\index.ts", "TypeScript", 25, 0, 0, 0, 0, 5, 30
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\timeline\worldhopper-journeys.ts", "TypeScript", 113, 0, 0, 0, 0, 2, 115
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useAnimationEngine.ts", "TypeScript", 200, 0, 0, 0, 0, 26, 226
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useCamera.ts", "TypeScript", 266, 0, 0, 0, 0, 28, 294
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useFocusTrap.ts", "TypeScript", 35, 0, 0, 0, 0, 9, 44
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useInfiniteScroll.ts", "TypeScript", 30, 0, 0, 0, 1, 10, 41
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useKeyboardShortcut.ts", "TypeScript", 23, 0, 0, 0, 0, 2, 25
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useLocalStorage.ts", "TypeScript", 25, 0, 0, 0, 1, 4, 30
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useMapInteraction.ts", "TypeScript", 237, 0, 0, 0, 0, 16, 253
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useResizeObserver.ts", "TypeScript", 14, 0, 0, 0, 0, 2, 16
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useSEOMeta.ts", "TypeScript", 48, 0, 0, 0, 0, 7, 55
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useSearch.ts", "TypeScript", 246, 0, 0, 0, 0, 25, 271
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useSpoilerMode.ts", "TypeScript", 57, 0, 0, 0, 0, 12, 69
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useTextFilter.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useTheme.ts", "TypeScript", 20, 0, 0, 0, 0, 7, 27
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\hooks\useViewTransition.ts", "TypeScript", 20, 0, 0, 0, 0, 4, 24
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\index.css", "PostCSS", 0, 0, 605, 0, 15, 96, 716
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\main.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 2, 16
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\About.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 8, 91
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\BookPage.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 20, 205
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\BooksPage.tsx", "TypeScript JSX", 0, 172, 0, 0, 0, 11, 183
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\CharactersPage.tsx", "TypeScript JSX", 0, 693, 0, 0, 0, 52, 745
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\ComparePage.tsx", "TypeScript JSX", 0, 113, 0, 0, 0, 13, 126
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\HeraldsPage.tsx", "TypeScript JSX", 0, 199, 0, 0, 0, 20, 219
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 158, 0, 0, 0, 11, 169
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\LibraryPage.tsx", "TypeScript JSX", 0, 24, 0, 0, 2, 4, 30
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\LocationsPage.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 7, 78
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\MagicSystemsPage.tsx", "TypeScript JSX", 0, 176, 0, 0, 0, 13, 189
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\MapPage.tsx", "TypeScript JSX", 0, 167, 0, 0, 0, 11, 178
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\MindMapPage.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 3, 23
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\NotFound.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 2, 24
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\StandaloneBooksPage.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 2, 26
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\StandaloneTimelinePage.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 2, 26
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\StatsPage.tsx", "TypeScript JSX", 0, 452, 0, 0, 13, 21, 486
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\pages\TimelinePage.tsx", "TypeScript JSX", 0, 303, 0, 0, 7, 28, 338
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\About.test.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 6, 39
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\BackToTop.test.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 5, 25
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\BookCover.test.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 5, 33
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\BookPage.test.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 9, 54
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\BooksPage.test.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 6, 40
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\Breadcrumbs.test.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 8, 50
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\CharactersPage.test.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 14, 80
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\ErrorBoundary.test.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 12, 86
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\HeraldsPage.test.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 14, 89
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\JourneyAnimation.test.tsx", "TypeScript JSX", 0, 461, 0, 0, 25, 87, 573
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\LibraryPage.test.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 5, 30
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\LocationsPage.test.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 7, 45
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\MagicSystemsPage.test.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 16, 103
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\NotFound.test.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 6, 37
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\StandaloneBooksPage.test.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 7, 43
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\StandaloneTimelinePage.test.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 7, 45
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\StatsPage.test.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 12, 69
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\TransitionLink.test.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 4, 29
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\a11y.test.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 6, 40
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\data-integrity.test.ts", "TypeScript", 322, 0, 0, 0, 0, 46, 368
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\fixtures\index.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\fly-to.test.ts", "TypeScript", 42, 0, 0, 0, 0, 10, 52
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\journey-utils.test.ts", "TypeScript", 295, 0, 0, 0, 28, 47, 370
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\setup.ts", "TypeScript", 53, 0, 0, 0, 1, 6, 60
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\test-utils.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\useViewTransition.test.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 4, 21
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\validate.test.ts", "TypeScript", 115, 0, 0, 0, 0, 18, 133
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\book.ts", "TypeScript", 10, 0, 0, 0, 10, 9, 29
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\character.ts", "TypeScript", 9, 0, 0, 0, 13, 8, 30
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\family.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\force-graph.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\herald.ts", "TypeScript", 14, 0, 0, 0, 0, 1, 15
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\index.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\planet-visuals.ts", "TypeScript", 63, 0, 0, 0, 0, 10, 73
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\planet.ts", "TypeScript", 21, 0, 0, 0, 0, 2, 23
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\relationships.ts", "TypeScript", 55, 0, 0, 0, 0, 4, 59
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\search.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\fly-to.ts", "TypeScript", 15, 0, 0, 0, 0, 2, 17
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\index.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\journey.ts", "TypeScript", 178, 0, 0, 0, 0, 27, 205
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\shelf-layout.ts", "TypeScript", 39, 0, 0, 0, 6, 13, 58
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\timeline-layout.ts", "TypeScript", 50, 0, 0, 0, 0, 10, 60
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\validate.ts", "TypeScript", 50, 0, 0, 0, 0, 14, 64
"Total", "-", 6911, 14219, 605, 684, 218, 2006, 24643